,교량명,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
0,진위교,경기도,평택시,37.100899,127.064133,37.101935,127.063864,4.6
1,풍계교,경기도,이천시,37.133443,127.602141,37.13371,127.601766,4.5
2,태평교,경기도,여주시,37.200325,127.545522,37.200578,127.545179,3.0
3,장평교,경기도,이천시,37.225055,127.524158,37.225717,127.523299,4.0
4,풍계교,경기도,이천시,37.149231,127.626386,37.148733,127.626393,7.0
5,덕평교,경기도,여주시,37.169174,127.651686,37.169362,127.651992,4.0
6,궁안교(상),경기도,평택시,37.016898,127.0135,37.017447,127.01814,5.5
7,안양교,경기도,안성시,37.00924000000001,127.21061,37.00901500000001,127.211938,6.2
8,보개교,경기도,안성시,37.012182,127.298276,37.012244,127.299035,3.1
9,고촌육교,경기도,김포시,37.587136,126.792184,37.58732,126.79268700000002,5.1
10,신원교,경기도,이천시,37.291282,127.50988,37.291459,127.510577,5.4
11,길천교,경기도,여주시,37.299263,127.560079,37.29920900000001,127.562075,9.1
12,번천2교,경기도,광주시,37.453328000000006,127.25239,37.45475,127.252398,6.0
13,번천1교,경기도,광주시,37.449014,127.260161,37.449605,127.260576,4.8
14,신곡교,경기도,김포시,37.599955,126.771568,37.599771,126.771829,4.6
15,매상교,경기도,평택시,36.936816,126.891598,36.936666,126.891871,2.5
16,궁안교(하),경기도,평택시,37.01753,127.01833899999998,37.016908,127.013439,10.0
17,신대교,경기도,평택시,37.00418300000001,127.052591,37.000017,127.059734,7.0
18,숙성라멘교,경기도,평택시,37.00648,126.979678,37.006435,126.979849,5.9
19,숙성교,경기도,평택시,37.01066,126.991691,37.010786,126.992034,6.3
20,양복육교,경기도,안성시,37.015933,127.317516,37.015941,127.317631,5.1
21,마전1교,경기도,안성시,37.031917,127.35144,37.032152,127.351739,6.3
22,마전2교,경기도,안성시,37.033474,127.35278999999998,37.033676,127.352915,3.9
23,두현육교,경기도,안성시,37.07262100000001,127.400952,37.072552,127.401297,5.1
24,중마교,경기도,안성시,37.07148,127.407282,37.071441,127.407451,5.6
25,죽산육교,경기도,안성시,37.070162,127.413831,37.070279,127.413283,6.1
26,두원육교,경기도,안성시,37.069891,127.419705,37.069951,127.419843,5.3
27,장원육교,경기도,안성시,37.073244,127.427609,37.073341,127.427705,5.2
28,장원교,경기도,안성시,37.074367,127.428605,37.075162,127.429194,7.2
29,현곡교,경기도,평택시,37.040297,126.934932,37.040468,126.934859,4.9
30,풍무교,경기도,화성시,37.098657,126.90266499999998,37.098779,126.902555,6.6
31,발안교,경기도,화성시,37.134969,126.91143999999998,37.135202,126.911504,5.9
32,송문1교,경기도,용인시 처인구,37.225113,127.262715,37.225074,127.263649,4.5
33,송문2교,경기도,용인시 처인구,37.225011,127.265057,37.225009,127.26591299999998,4.7
34,송문3교,경기도,용인시 처인구,37.22671500000001,127.26999,37.226835,127.270189,4.5
35,양지1교,경기도,용인시 처인구,37.227942,127.272003,37.228326,127.272628,4.5
36,양지2교,경기도,용인시 처인구,37.232453,127.28031,37.2325,127.280589,5.0
37,추계1교,경기도,용인시 처인구,37.255193,127.330032,37.255039,127.331824,8.0
38,추계2교,경기도,용인시 처인구,37.254755,127.33493,37.254597,127.336786,6.0
39,오천교,경기도,이천시,37.254881,127.357189,37.254767,127.357977,5.0
40,유덕교,경기도,화성시,37.173678,126.936618,37.173946,126.936594,4.5
41,둔전육교,경기도,용인시 처인구,37.269407,127.213529,37.269584,127.213543,5.0
42,삼계교,경기도,용인시 처인구,37.278456,127.224528,37.278519,127.22499,5.0
43,포곡육교,경기도,용인시 처인구,37.285068,127.232816,37.285222,127.232937,5.0
44,초현교,경기도,용인시 처인구,37.302904,127.235062,37.303116,127.235119,2.0
45,초부교,경기도,용인시 처인구,37.312474,127.240716,37.31265300000001,127.24076399999998,7.0
46,왕산소교,경기도,용인시 처인구,37.337673,127.24978,37.337884,127.24982,2.3
47,매산교,경기도,광주시,37.355416,127.246295,37.355683,127.24631399999998,2.3
48,양벌육교,경기도,광주시,37.37036,127.244878,37.370727,127.244912,5.0
49,양벌대교,경기도,광주시,37.373321,127.244392,37.375097,127.243486,6.3
50,고산육교,경기도,광주시,37.37790800000001,127.241726,37.378564,127.24093700000002,5.0
51,군하교,경기도,김포시,37.713874,126.54484,37.713365,126.545538,5.0
52,오리교,경기도,김포시,37.706418,126.561331,37.706214,126.56183500000002,7.0
53,평택호대교,경기도,평택시,36.91075900000001,126.908809,36.91552,126.910182,6.5
54,현덕IC교,경기도,평택시,36.917497,126.91078799999998,36.917744,126.910898,5.9
55,현덕교,경기도,평택시,36.953092,126.915695,36.953419,126.916113,5.0
56,안중고가차도,경기도,평택시,36.987967,126.938319,36.993366,126.938362,5.5
57,신원육교,경기도,이천시,37.289793,127.500555,37.289815,127.500869,5.6
58,백록육교,경기도,이천시,37.295042,127.541362,37.295092,127.541606,5.0
59,능서육교,경기도,여주시,37.301329,127.573042,37.301289,127.573345,5.0
60,신궁1육교,경기도,평택시,36.979765,127.072796,36.979652,127.07323,9.4
61,신궁2육교,경기도,평택시,36.978607,127.077545,36.978506,127.07798,7.0
62,평궁교,경기도,평택시,36.977609,127.081367,36.977527,127.08168899999998,9.6
63,안성천2교,경기도,평택시,36.976284,127.090594,36.980175,127.099906,10.0
64,월정육교,경기도,안성시,37.08782,127.465346,37.08785,127.465496,5.0
65,청미교(상),경기도,안성시,37.094972,127.475273,37.0962,127.477121,4.2
66,청미교(하),경기도,안성시,37.094968,127.475268,37.096194,127.477121,4.2
67,행죽교,경기도,이천시,37.102592,127.519308,37.10268,127.519611,5.2
68,행죽육교,경기도,이천시,37.106566,127.534232,37.106577,127.534465,5.3
69,제요교,경기도,이천시,37.11150900000001,127.552918,37.111473,127.553782,4.6
70,제요1교,경기도,이천시,37.110955,127.556468,37.110887,127.556745,8.7
71,대서육교,경기도,이천시,37.108947,127.565709,37.108932,127.565915,7.9
72,계양천교,경기도,김포시,37.609494,126.74017,37.609348,126.740502,4.6
73,후포교,경기도,여주시,37.350688,127.602253,37.350963,127.601577,3.5
74,초현교,경기도,여주시,37.36936,127.584194,37.37002,127.583539,7.0
75,이호대교,경기도,여주시,37.283658,127.674422,37.283641,127.684646,7.0
76,이호육교,경기도,여주시,37.283316,127.690969,37.283289,127.691293,7.0
77,강천육교,경기도,여주시,37.283005,127.694753,37.282979,127.69515,10.0
78,간매육교,경기도,여주시,37.274035,127.711277,37.273947,127.711709,10.0
79,부평교,경기도,여주시,37.273802,127.743269,37.273793,127.743604,6.0
80,한평교,경기도,안성시,37.106555,127.433259,37.107595,127.432782,6.1
81,방초교,경기도,안성시,37.111533,127.429893,37.111849,127.429652,7.0
82,고안육교,경기도,용인시 처인구,37.133822,127.404286,37.13392,127.404157,7.0
83,백봉교,경기도,용인시 처인구,37.135071,127.402497,37.13521,127.40228,7.3
84,원대교,경기도,용인시 처인구,37.155549,127.384865,37.155911,127.38468600000002,9.0
85,백암교,경기도,용인시 처인구,37.167768,127.37896299999998,37.168093,127.378717,5.8
86,근곡교,경기도,용인시 처인구,37.170216,127.364223,37.170229,127.363933,8.2
87,두창육교,경기도,용인시 처인구,37.176113,127.340778,37.176469,127.340402,6.4
88,능교,경기도,용인시 처인구,37.185987,127.330272,37.186126,127.330124,6.2
89,희곡육교,경기도,평택시,36.971234,126.870734,36.971461,126.871233,6.3
90,양지고가차도,경기도,용인시 처인구,37.234072,127.296139,37.235302,127.29821,7.2
91,석근육교,경기도,평택시,36.936761,127.045028,36.936989,127.04506299999998,5.6
92,추팔육교,경기도,평택시,36.966954,127.071085,36.967151,127.071229,5.7
93,내리고가차도,경기도,안성시,37.012191,127.22481299999998,37.013819,127.228847,10.0
94,오산육교,경기도,용인시 처인구,37.330901,127.148311,37.330893,127.148453,5.0
95,양촌교,경기도,용인시 처인구,37.330161,127.155365,37.330191,127.155714,7.3
96,능원교,경기도,용인시 처인구,37.338796,127.171456,37.339159,127.173092,9.3
97,능원육교,경기도,용인시 처인구,37.339463,127.176394,37.33948,127.176732,8.5
98,동림육교,경기도,용인시 처인구,37.340126,127.191157,37.340181,127.191712,8.1
99,문형교,경기도,광주시,37.341953,127.198048,37.342446,127.199271,20.0
100,문형2교,경기도,광주시,37.347343,127.209728,37.347912,127.210876,13.2
101,문형육교,경기도,광주시,37.34867,127.212386,37.348819,127.212707,6.8
102,추자육교,경기도,광주시,37.362241,127.229666,37.362669,127.229894,7.8
103,오포육교,경기도,광주시,37.370704,127.23404,37.37113,127.234276,6.9
104,진암교,경기도,이천시,37.105885,127.613184,37.106215,127.612851,4.7
105,진암1교,경기도,이천시,37.11466400000001,127.605492,37.115055,127.60538400000002,7.7
106,진암2교,경기도,이천시,37.116048,127.605194,37.116349,127.605159,5.6
107,진암3교,경기도,이천시,37.115467,127.606889,37.114598,127.607135,7.1
108,제암육교,경기도,화성시,37.117477,126.900494,37.117926,126.900446,7.9
109,발안교,경기도,화성시,37.124115,126.898918,37.12582800000001,126.898398,4.5
110,제암1육교,경기도,화성시,37.12800900000001,126.897751,37.128272,126.897662,6.8
111,발안1육교,경기도,화성시,37.133418,126.895848,37.133647,126.895754,6.9
112,지월육교,경기도,화성시,37.143457,126.892568,37.143727,126.89249,6.4
113,구장육교,경기도,화성시,37.154231,126.891905,37.154502,126.891851,6.2
114,팔탄육교,경기도,화성시,37.169333,126.890498,37.169688,126.890359,8.1
115,자안교,경기도,화성시,37.194605,126.879201,37.194964,126.879112,8.0
116,자안1육교,경기도,화성시,37.197673,126.878777,37.197957,126.878756,9.0
117,자안2육교,경기도,화성시,37.200035,126.878684,37.200435,126.878673,7.7
118,양노육교,경기도,화성시,37.216463,126.872888,37.216595,126.872888,7.8
119,양노1육교,경기도,화성시,37.223317,126.875712,37.223531,126.875835,7.6
120,양노2육교,경기도,화성시,37.226713,126.877398,37.226845,126.877457,7.4
121,쌍학1육교,경기도,화성시,37.243679,126.890021,37.243997,126.890249,5.1
122,쌍학1교,경기도,화성시,37.244267,126.890433,37.244545,126.890615,7.0
123,쌍학2교,경기도,화성시,37.244389,126.890336,37.244626,126.8905,4.0
124,쌍학2육교,경기도,화성시,37.246503,126.891943,37.247543,126.892685,5.3
125,쌍학3육교,경기도,화성시,37.248452,126.893294,37.24885,126.893576,4.5
126,숙곡교,경기도,화성시,37.25114,126.895273,37.251693,126.895764,8.5
127,야목육교,경기도,화성시,37.253836,126.898001,37.254449,126.898658,5.9
128,율암육교,경기도,화성시,37.155364,126.891721,37.155848,126.891614,9.1
129,향산교,경기도,김포시,37.619238,126.740559,37.619106,126.740677,4.8
