교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
진위교,일반국도1호선,경기도,평택시,41220,경기도 평택시 진위면 견산리,37.100899,127.064133,37.101935,127.063864,4.6
풍계교,일반국도3호선,경기도,이천시,41500,경기도 이천시 장호원읍 선읍리,37.133443,127.602141,37.13371,127.601766,4.5
태평교,일반국도3호선,경기도,여주시,41670,경기도 여주시 가남읍 태평리,37.200325,127.545522,37.200578,127.545179,3
장평교,일반국도3호선,경기도,이천시,41500,경기도 이천시 대월면 장평리,37.225055,127.524158,37.225717,127.523299,4
풍계교,일반국도37호선,경기도,이천시,41500,경기도 이천시 장호원읍 풍계리,37.149231,127.626386,37.148733,127.626393,7
덕평교,일반국도37호선,경기도,여주시,41670,경기도 여주시 점동면 덕평리,37.169174,127.651686,37.169362,127.651992,4
궁안교(상),일반국도38호선,경기도,평택시,41220,경기도 평택시 오성면 안화리,37.016898,127.0135,37.017447,127.01814,5.5
안양교,일반국도38호선,경기도,안성시,41550,경기도 안성시 공도읍 양기리,37.00924,127.21061,37.009015,127.211938,6.2
보개교,일반국도38호선,경기도,안성시,41550,경기도 안성시 보개면 동신리,37.012182,127.298276,37.012244,127.299035,3.1
고촌육교,일반국도39호선,경기도,김포시,41570,경기도 김포시 고촌읍 전호리,37.587136,126.792184,37.58732,126.792687,5.1
신원교,일반국도42호선,경기도,이천시,41500,경기도 이천시 부발읍 신원리,37.291282,127.50988,37.291459,127.510577,5.4
길천교,일반국도42호선,경기도,여주시,41670,경기도 여주시 능서면 신지리,37.299263,127.560079,37.299209,127.562075,9.1
번천2교,일반국도43호선,경기도,광주시,41610,경기도 광주시 남한산성면 광지원리,37.453328,127.25239,37.45475,127.252398,6
번천1교,일반국도45호선,경기도,광주시,41610,경기도 광주시 남한산성면 상번천리,37.449014,127.260161,37.449605,127.260576,4.8
신곡교,일반국도48호선,경기도,김포시,41570,경기도 김포시 고촌읍 신곡리,37.599955,126.771568,37.599771,126.771829,4.6
매상교,일반국도38호선,경기도,평택시,41220,경기도 평택시 포승읍 신영리,36.936816,126.891598,36.936666,126.891871,2.5
궁안교(하),일반국도38호선,경기도,평택시,41220,경기도 평택시 오성면 안화리,37.01753,127.018339,37.016908,127.013439,10
신대교,일반국도38호선,경기도,평택시,41220,경기도 평택시 고덕면 동고리,37.004183,127.052591,37.000017,127.059734,7
숙성라멘교,일반국도38호선,경기도,평택시,41220,경기도 평택시 오성면 죽리,37.00648,126.979678,37.006435,126.979849,5.9
숙성교,일반국도38호선,경기도,평택시,41220,경기도 평택시 오성면 안화리,37.01066,126.991691,37.010786,126.992034,6.3
양복육교,일반국도38호선,경기도,안성시,41550,경기도 안성시 보개면 내방리,37.015933,127.317516,37.015941,127.317631,5.1
마전1교,일반국도38호선,경기도,안성시,41550,경기도 안성시 삼죽면 마전리,37.031917,127.35144,37.032152,127.351739,6.3
마전2교,일반국도38호선,경기도,안성시,41550,경기도 안성시 삼죽면 미장리,37.033474,127.35279,37.033676,127.352915,3.9
두현육교,일반국도38호선,경기도,안성시,41550,경기도 안성시 죽산면 두현리,37.072621,127.400952,37.072552,127.401297,5.1
중마교,일반국도38호선,경기도,안성시,41550,경기도 안성시 죽산면 두현리,37.07148,127.407282,37.071441,127.407451,5.6
죽산육교,일반국도38호선,경기도,안성시,41550,경기도 안성시 죽산면 장원리,37.070162,127.413831,37.070279,127.413283,6.1
두원육교,일반국도38호선,경기도,안성시,41550,경기도 안성시 죽산면 장원리,37.069891,127.419705,37.069951,127.419843,5.3
장원육교,일반국도38호선,경기도,안성시,41550,경기도 안성시 죽산면 장원리,37.073244,127.427609,37.073341,127.427705,5.2
