,station_code,station_name,address,etc_address,longitude,latitude,location
0,1007604,안성시(한평교),경기도 안성시 일죽면,고은리 한평교,127-26-01,37-06-24 ,"[37.10666666666667, 127.43361111111112]"
1,1007605,이천시(장호원교),경기도 이천시,장호원읍 장호원리 장호원교,127-38-07,37-06-54 ,"[37.115, 127.63527777777779]"
2,1007615,여주시(원부교),경기도 여주시,점동면 원부리 원부교,127-38-03,37-09-45 ,"[37.1625, 127.63416666666667]"
3,1007617,여주시(삼합교),경기도 여주시,점동면 삼합리 삼합교,127-43-09,37-12-08 ,"[37.202222222222225, 127.71916666666667]"
4,1007620,여주시(강천리),경기도 여주시,강천면 강천리 546-1,127-42-50,37-13-52 ,"[37.23111111111111, 127.71388888888889]"
5,1007625,여주시(남한강교),경기도 여주시,우만동 99-5(구)남한강교,127-40-51,37-15-17 ,"[37.25472222222222, 127.68083333333334]"
6,1007630,남한강,경기도 여주군,강천면 이호리,127-41-12,37-10-59 ,"[37.183055555555555, 127.68666666666667]"
7,1007633,강천보(상류),경기도,여주시 단현동 47-3천,127-41-00,37-16-23 ,"[37.27305555555555, 127.68333333333334]"
8,1007634,강천보(하류),경기도,여주시 강천면 이호리 523-2,127-41-05,37-17-01 ,"[37.28361111111111, 127.68472222222222]"
9,1007635,여주시(여주대교),경기도 여주시,상동 여주대교,127-38-51,37-17-46 ,"[37.29611111111111, 127.64750000000001]"
10,1007639,여주보(상류),경기도,여주시 대신면 천남리 680,127-36-56,37-19-34 ,"[37.32611111111112, 127.61555555555555]"
11,1007640,여주시(율극교),경기도 여주시,흥천면 율극리 율극교,127-34-23,37-20-02 ,"[37.33388888888889, 127.57305555555556]"
12,1007641,여주보(하류),경기도,여주시 능서면 왕대리 1008천,127-36-12,37-19-43 ,"[37.328611111111115, 127.60333333333332]"
13,1007645,이천시(복하교),경기도 이천시,부발읍 신하리 복하교,127-27-39,37-16-01 ,"[37.26694444444444, 127.46083333333334]"
14,1007649,흑천,경기도 양평군,양평읍 원덕리,127-32-35,37-27-51 ,"[37.46416666666667, 127.54305555555555]"
15,1007650,여주시(흥천대교),경기도 여주시,흥천면 다대리 흥천대교,127-32-06,37-19-59 ,"[37.33305555555556, 127.535]"
16,1007653,대평,경기도 양평군 지평면,대평리 742,127-37-47,37-25-21 ,"[37.4225, 127.62972222222221]"
17,1007655,여주시(양촌교),경기도 여주시,대신면 초현리 양촌교,127-33-45,37-22-57 ,"[37.3825, 127.5625]"
18,1007656,여주저류지,경기도 여주시 대신면,당남리 318,127-32-59,37-22-52 ,"[37.38111111111111, 127.54972222222221]"
19,1007660,여주시(이포대교),경기도 여주시,금사면 이포리 이포대교,127-32-15,37-24-04 ,"[37.401111111111106, 127.5375]"
20,1007662,이포보(상류),경기도,여주시 금사면 이포리 375 이포대교,127-32-16,37-24-04 ,"[37.401111111111106, 127.53777777777778]"
21,1007664,이포보(하류),경기도,여주시 대신면 천서리 674,127-32-29,37-24-30 ,"[37.40833333333333, 127.54138888888889]"
22,1007672,금사,경기도 여주군 금사면,장흥리 40,127-29-20,37-23-19 ,"[37.38861111111111, 127.4888888888889]"
23,1007680,양평군(흑천교),경기도 양평군,개군면 공세리 흑천교,127-31-39,37-27-58 ,"[37.46611111111111, 127.5275]"
24,1007685,양평군(양평교),경기도 양평군,양평읍 양근리 양평교,127-29-24,37-29-11 ,"[37.48638888888889, 127.49]"
25,1007690,양평군(봉상교),경기도 양평군,단월면 봉상리 봉상교,127-39-04,37-30-42 ,"[37.51166666666666, 127.65111111111112]"
26,1007697,양평군(신원리),경기도 양평군 양서면,신원리 504-14 신원리제방,127-22-18,37-31-29 ,"[37.52472222222222, 127.37166666666666]"
